policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Energy-WSRPT,3335.145916001523,149805.56215354672,256,585.1779771622919,147675122448.8456,43717117103.24272,70.39642400270483,1.079645548510545,78.66929020213107,0,0,150,27,83,0,57.69230769230769,10.384615384615385,31.923076923076923,0.0,194.43784645337144,194.43784645337144,0.0,0.015828075993340462,,,,,,,8,24,260,1,fixed-window,10,283,10,646,0.868983103900755
ActiveInf-inspired,3402.393805083593,149989.19807631974,256,585.895304985624,147675122448.8456,52171633258.62287,64.67134586145677,1.2567783273065893,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920435,10.801923679920435,0.0,0.0394807690799308,,,,,,,8,24,260,1,fixed-window,10,283,10,646,0.8865047598813637
LEO-DRL-inspired,3600.2351175699287,149988.10522789333,256,585.8910360464583,147675122448.8456,50727682313.99014,65.64913475418845,1.1894509169151812,78.71920664394437,0,0,151,1,108,0,58.07692307692308,0.38461538461538464,41.53846153846154,0.0,11.894772106579126,11.894772106579126,0.0,0.0791073078289628,,,,,,,8,24,260,1,fixed-window,10,283,10,646,0.938052956612225
Hierarchical-RA-inspired,3426.273397913878,149989.19807631974,256,585.895304985624,147675122448.8456,52585182670.81497,64.39130586194003,1.2567783273065893,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920435,10.801923679920435,0.0,0.02199307592281212,,,,,,,8,24,260,1,fixed-window,10,283,10,646,0.8927266653752095
DRL-UA-inspired,3579.795767335825,149982.71398410664,256,585.8699765004166,147675122448.8456,48933071912.437355,66.8643769505675,1.1445659766542424,78.66929020213107,0,0,152,8,100,0,58.46153846153846,3.076923076923077,38.46153846153846,0.0,17.286015893293552,17.286015893293552,0.0,0.08309038239531219,,,,,,,8,24,260,1,fixed-window,10,283,10,646,0.9327274175037472
QoS-Multihop-projected,3569.973175855516,149982.4829769066,256,585.8690741285415,147675122448.8456,47500814640.84448,67.83424733079285,1.079645548510598,78.58622750875276,0,0,152,11,97,0,58.46153846153846,4.230769230769231,37.30769230769231,0.0,17.517023093327282,17.517023093327282,0.0,0.026941538985388782,,,,,,,8,24,260,1,fixed-window,10,283,10,646,0.9301681093811385
DelayCost-adapted,3426.273397913878,149989.19807631974,256,585.895304985624,147675122448.8456,52585182670.81497,64.39130586194003,1.2567783273065893,79.33171732849058,0,0,150,19,91,0,57.69230769230769,7.3076923076923075,35.0,0.0,10.801923679920435,10.801923679920435,0.0,0.019343076676775057,,,,,,,8,24,260,1,fixed-window,10,283,10,646,0.8927266653752095
Heuristic-TVD,3837.9870690586226,149719.9602573866,257,582.567938744695,147675122448.8456,61385932170.2414,58.43177161305191,1.1445659766542424,75.53968085804092,0,0,155,0,105,0,59.61538461538461,0.0,40.38461538461539,0.0,280.0397426132629,280.0397426132629,0.0,0.019394230576626096,,,,,,,8,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3987.9015633096137,64223.37783562667,260,247.0129916754872,145047080871.27374,102072848551.6437,29.62778158753072,10.752650312716167,66.8191582745461,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,85776.62216437332,85776.62216437332,0.0,0.01158961453116857,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.9916659151008066
Energy-WSRPT,3445.5022080778594,149772.53937029318,256,585.0489819152077,145047080871.27374,39449361301.11854,72.80237488120906,0.9832486245364028,79.09861167966864,0,0,157,29,74,0,60.38461538461539,11.153846153846153,28.46153846153846,0.0,227.46062970671636,227.46062970671636,0.0,0.01589807641441719,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8567882245618275
ActiveInf-inspired,3501.9678804278847,149998.59020890653,256,585.9319930035412,145047080871.27374,47738787636.49417,67.08738476518438,1.1445659766542273,79.09861167966864,0,0,158,7,95,0,60.76923076923077,2.6923076923076925,36.53846153846154,0.0,1.4097910932952402,1.4097910932952402,0.0,0.04066115384025929,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8708294644855881
LEO-DRL-inspired,3651.938095502038,149988.17452383976,256,585.891306733749,145047080871.27374,36981232304.33303,74.50398030612342,1.0796455485105754,79.08487899752723,0,0,167,18,75,0,64.23076923076923,6.923076923076923,28.846153846153847,0.0,11.825476159993684,11.825476159993684,0.0,0.07528577060349143,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.9081223485270762
Hierarchical-RA-inspired,3501.9678804278847,149998.59020890653,256,585.9319930035412,145047080871.27374,47738787636.49417,67.08738476518438,1.1445659766542273,79.09861167966864,0,0,158,7,95,0,60.76923076923077,2.6923076923076925,36.53846153846154,0.0,1.4097910932952402,1.4097910932952402,0.0,0.020541923228078164,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8708294644855881
DRL-UA-inspired,3725.2463022153956,149997.2946666132,256,585.9269322914578,145047080871.27374,41707524814.1982,71.24552623626204,1.1121057625823596,77.44137861085507,0,0,158,9,93,0,60.76923076923077,3.4615384615384617,35.76923076923077,0.0,2.7053333866434173,2.7053333866434173,0.0,0.08372230714975068,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.926351797960745
QoS-Multihop-projected,3595.7502105434774,149983.34119957322,256,585.8724265608329,145047080871.27374,45641694540.19769,68.53318642055007,1.0218073941260588,79.09861167966864,0,0,157,8,95,0,60.38461538461539,3.076923076923077,36.53846153846154,0.0,16.65880042666481,16.65880042666481,0.0,0.023165768540750902,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8941501856061923
DelayCost-adapted,3501.616872063879,149988.46288666653,256,585.8924331510411,145047080871.27374,44685511553.43287,69.1924089164605,1.079645548510598,79.09861167966864,0,0,158,11,91,0,60.76923076923077,4.230769230769231,35.0,0.0,11.537113333294911,11.537113333294911,0.0,0.02055192252065843,,,,,,,9,24,260,1,fixed-window,10,283,10,646,0.8707421797256776
Heuristic-TVD,4021.416388909796,149539.87916986653,257,581.8672341239943,145047080871.27374,40555041023.97266,72.04008465364124,0.9832486245364028,70.43976702267629,0,0,172,1,87,0,66.15384615384616,0.38461538461538464,33.46153846153846,0.0,460.12083013330334,460.12083013330334,0.0,0.018690384324425116,,,,,,,9,24,260,1,fixed-window,10,283,10,646,1.0
PBR-adapted,3606.0342575182135,149818.60667264002,254,589.837034144252,141896346105.7374,40600266532.14116,71.38737702104963,1.0218073941260324,736.8176803410713,0,0,156,8,96,0,60.0,3.076923076923077,36.92307692307692,0.0,181.39332736005818,181.39332736005818,0.0,5.94815538430479,,,,,,,0,24,260,1,fixed-window,0,0,0,0,0.9287936586313609
PeakMem-inspired,3703.8595169576843,149939.62772928007,254,590.3134949971657,141896346105.7374,35797293400.36659,74.77222325817227,0.9832486245364028,736.9298172144859,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,60.37227072001747,60.37227072001747,0.0,0.025553461343336564,,,,,,,0,24,260,1,fixed-window,0,0,0,0,0.9539901692945404
PBR-adapted,3805.818738743959,149897.76833706658,257,583.2597989769127,138183152908.2682,41999740976.53451,69.60574419342154,0.7927439326949752,111.78914483510077,0,0,161,4,95,0,61.92307692307692,1.5384615384615385,36.53846153846154,0.0,102.2316629333128,102.2316629333128,0.0,6.33510346188604,,,,,,,1,24,260,1,fixed-window,0,0,0,0,0.9632806740435311
PeakMem-inspired,3936.846108411431,149812.2005236267,257,582.9268502864852,138183152908.2682,37717985992.942726,72.70435273829544,0.7175219706068068,111.40782928342253,0,0,171,0,89,0,65.76923076923077,0.0,34.23076923076923,0.0,187.79947637329678,187.79947637329678,0.0,0.025603077105747964,,,,,,,1,24,260,1,fixed-window,0,0,0,0,0.9964446636173196
PBR-adapted,3617.505237769808,149937.65097269317,253,592.6389366509611,143551818802.25815,45071123719.67207,68.60288911995096,0.721079132218559,753.8664932918881,0,0,156,6,98,0,60.0,2.3076923076923075,37.69230769230769,0.0,62.34902730667835,62.34902730667835,0.0,6.081845768158718,,,,,,,2,24,260,1,fixed-window,0,0,0,0,0.9438730476124777
PeakMem-inspired,3680.562435142775,149821.94814474665,253,592.1816132203425,143551818802.25815,42539105040.479256,70.36672513423419,0.7668729075820011,754.0107986472566,0,0,163,0,97,0,62.69230769230769,0.0,37.30769230769231,0.0,178.05185525336117,178.05185525336117,0.0,0.02469692374758709,,,,,,,2,24,260,1,fixed-window,0,0,0,0,0.9603258196601602
PBR-adapted,3798.7116905394964,149988.65880639997,255,588.1908188486274,145714942829.99643,44879114674.126335,69.20074646943645,0.9764344490892352,77.65385075632592,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,11.341193600005568,11.341193600005568,0.0,6.1365553827132455,,,,,,,3,24,260,1,fixed-window,0,0,0,0,0.9530907541348681
PeakMem-inspired,3804.833651545518,149854.43674154667,255,587.664457809987,145714942829.99643,44718234421.71287,69.31115398790294,0.9832486245364028,77.65385075632592,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,145.5632584533539,145.5632584533539,0.0,0.023442692718862627,,,,,,,3,24,260,1,fixed-window,0,0,0,0,0.9546267444672075
PBR-adapted,3546.5718212149195,149772.65589845323,259,578.2728026967307,143751290598.0329,44538818544.37131,69.01675222595826,1.1445659766542349,726.9090733329451,0,0,152,6,102,0,58.46153846153846,2.3076923076923075,39.23076923076923,0.0,227.34410154669075,227.34410154669075,0.0,6.2343069232436115,,,,,,,4,24,260,1,fixed-window,0,0,0,0,0.8980289054701032
PeakMem-inspired,3817.7811422052164,149987.9710498133,259,579.1041353274644,143751290598.0329,38306412146.51892,73.35230036046501,1.02180739412604,726.9090733329451,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,12.028950186682096,12.028950186682096,0.0,0.024082308832126167,,,,,,,4,24,260,1,fixed-window,0,0,0,0,0.9667019288740882
PBR-adapted,3671.606389651742,149912.94805653335,259,578.8144712607465,145966253614.7567,48746952763.86467,66.60395704028913,0.9832486245364028,69.69639254002793,0,0,159,2,99,0,61.15384615384615,0.7692307692307693,38.07692307692308,0.0,87.05194346669992,87.05194346669992,0.0,5.933696923155087,,,,,,,5,24,260,1,fixed-window,0,0,0,0,0.9325428502721278
PeakMem-inspired,3784.2809225162405,149840.96300458672,259,578.536536697246,145966253614.7567,48088720968.09191,67.05490496795878,0.9832486245363972,57.598362919043595,0,0,164,0,96,0,63.07692307692308,0.0,36.92307692307692,0.0,159.0369954133405,159.0369954133405,0.0,0.024603075759771924,,,,,,,5,24,260,1,fixed-window,0,0,0,0,0.9611607953565153
PBR-adapted,3718.896180936403,149978.49422277324,257,583.573907481608,136511684238.74997,48457843844.22273,64.50278661900242,1.0507264713183,110.72537450054526,0,0,153,3,104,0,58.84615384615385,1.1538461538461537,40.0,0.0,21.505777226620836,21.505777226620836,0.0,6.289456924311637,,,,,,,6,24,260,1,fixed-window,0,0,0,0,0.9401778039950163
PeakMem-inspired,3798.540000312453,149984.67503541327,257,583.5979573362384,136511684238.74997,43303977000.145035,68.27819007462452,1.0218073941260324,110.72537450054526,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,15.324964586653778,15.324964586653778,0.0,0.023224613575551372,,,,,,,6,24,260,1,fixed-window,0,0,0,0,0.9603126363645221
PBR-adapted,3847.9484778529204,149985.80684666647,254,590.4953025459309,139247165035.33093,51158242364.516975,63.26083740984121,1.019387188833874,69.26924140178392,0,0,158,5,97,0,60.76923076923077,1.9230769230769231,37.30769230769231,0.0,14.193153333342593,14.193153333342593,0.0,5.857652307559665,,,,,,,7,24,260,1,fixed-window,0,0,0,0,0.9371312596039216
PeakMem-inspired,3912.029280813102,149726.36115669325,254,589.473862821627,139247165035.33093,47707423959.51341,65.73903393479594,0.9832486245363953,68.03340136821156,0,0,161,0,99,0,61.92307692307692,0.0,38.07692307692308,0.0,273.6388433066684,273.6388433066684,0.0,0.022881922240440663,,,,,,,7,24,260,1,fixed-window,0,0,0,0,0.9527375297866278
PBR-adapted,3646.5005114286973,149936.6217009067,256,585.6899285191668,147675122448.8456,50115111008.00662,66.06394484259432,1.0573372370179641,78.66929020213107,0,0,150,4,106,0,57.69230769230769,1.5384615384615385,40.76923076923077,0.0,63.37829909330924,63.37829909330924,0.0,6.17264192215561,,,,,,,8,24,260,1,fixed-window,0,0,0,0,0.950107555292808
PeakMem-inspired,3683.4831485155064,149676.9908581333,256,584.6757455395832,147675122448.8456,47434744754.50807,67.87898735554504,1.0218073941260324,78.44808184755358,0,0,157,0,103,0,60.38461538461539,0.0,39.61538461538461,0.0,323.00914186660907,323.00914186660907,0.0,0.02578884640780206,,,,,,,8,24,260,1,fixed-window,0,0,0,0,0.9597435015379004
PBR-adapted,3733.7622793803866,149869.68079663988,256,585.4284406118745,145047080871.27374,47972227694.75545,66.92644387836401,0.9832486245364028,79.08487899752723,0,0,157,5,98,0,60.38461538461539,1.9230769230769231,37.69230769230769,0.0,130.31920336001033,130.31920336001033,0.0,5.977503846000987,,,,,,,9,24,260,1,fixed-window,0,0,0,0,0.9284694541150482
PeakMem-inspired,3935.2086110715372,149736.74414645325,256,584.909156822083,145047080871.27374,37764125410.082085,73.96422928111393,0.9832486245364028,75.4055122589025,0,0,174,0,86,0,66.92307692307692,0.0,33.07692307692308,0.0,263.25585354664463,263.25585354664463,0.0,0.022656538819249433,,,,,,,9,24,260,1,fixed-window,0,0,0,0,0.9785628322210053
